Study Name/Number,Race,Race Present,Ethnicity,Ethnicity Present,Study sample size,Gender/Sex,Sex Present,Male,Female,Unknown / Not Reported,Total N,Age,Age Present,Average/Median Age (years),Min Age (years),Max Age (years),Country/Region,Location ,Pre-existing conditions and/or Symptoms,Instruments used,Socioeconomic Status,Data Collected (differnent levels of),Date Study was Conducted/Published,Date Study Posted on PhysioNet,Field
Examples of Electromyograms: An electromyogram (EMG) is a common clinical test used to assess function of muscles and the nerves that control them. EMG studies are used to help in the diagnosis and management of disorders such a…,X,0,X,0,3,all males,1,3,0,X,3,Average: 54.3 (44-62),1,54.3,44,62,USA,"Boston, Massachusetts (Beth Israel Deaconess Medical Center)","Patient 1 had no history of neuromuscular disease; Patient 2 had chronic low back pain and neuropathy due to a right L5 radiculopathy; Patient 3 had myopathy due to longstanding history of polymyositis, treated effectively with steroids and low-dose methotrexate","Medelec Synergy N2 EMG Monitoring System (Oxford Instruments Medical, Old Woking, United Kingdom)",X,electromyogram data from individuals with or without neuromuscular disease,,,myoelectric
Eye Tracking Dataset for the 12-Lead Electrocardiogram Interpretation of Medical Practitioners and Students: The project aims at collecting a dataset using eye-tracking technology to understand the 12-lead electrocardiogram interpretation visual behavior for medical practitioners and students with different expertise levels.,X,0,X,0,63 different medical practitioners from five expertise categories interpreted ten different ECGs each,51 males; 12 females,1,51,12,X,63,"20 - 23yrs: n = 10
23 - 25yrs: n = 9
26 - 30yrs: n = 21
30 - 35yrs: n = 11
35 - 45yrs: n = 12 (Mean age was 28 for all groups)",1,28,20,45,Qatar,"Ar Rayyan, Qatar (Qatar Biomedical Research Institute, Hamad bin Khalifa University); Doha, Qatar (Hamad Medical Corporation)",All worked in the healthcare fiedl, Tobii Pro X2-60 eye tracker and iMotions version 8.1 software,X,Eye tracking movement of medical practioners and students when analyzing electrocardiograms,,,other
Fantasia Database: ECG and respiration signals collected from 40 young and elderly subjects during supine resting.,X,0,X,0,"40 (20 young subjects and 20 elderly patients) stated on PhysioNet; however, on actual publication, it instead says 20 total subjects (10 young and 10 elderly)","5 women and 5 men in each group (young vs. elderly) as stated in publication, not on PhysioNet",1,10,10,X,20,Twenty young (21 - 34 years old) patients; twenty elderly (68 - 85 years old) stated on PhysioNet,1,,21,85,USA,"Boston, Massachusetts (Beth Israel Deaconess Medical Center)","Patients were ""rigorously-screened"" as healthy patients",X,X,"continuous ECG recordings and respirations signals (as well as uncalibrated continuous non-invasive blood pressure signal in half of the group) while nderwent 120 minutes of continuous supine resting while watching the Disney movie, Fantasia",,,multi_parameter
"Fetal ECG Synthetic Database: The _FECGSYNDB_ is a large database of simulated adult and non-invasive fetal ECG (NI-FECG) signals, which provides a robust resource that enables reproducible research in the field. The data is gene…",X,0,X,0,10 (simulated pregnant women) x 7 (cases) x 5 (SNR levels) x 5 (repetitions) = 1750 synthetic signals were produced,all females for maternal recordings; sex not specified for fetus,1,0,10,,10,X,0,,,,X,X,Women were already pregnant,data is generated using the FECGSYN simulator,X,simulated adult and non-invasive fetal ECG (NI-FECG) signals,,,cardiac_electrophysiology
Fetal PCG Database: The project collects a series of 26 fetal phonocardiographic (PCG) signals from different pregnant women during the last months of their singleton physiological pregnancies (gestational week between …,X,0,X,0,"35 pregnant women (stated in original publication, not on PhysioNet); 26 fetal PCG signals recorded",All females; sex not specified for fetus,1,0,26,,26,25-35,1,,,,Italy,"Naples, Italy",All women were healthy and also pregnant during the last months of their singleton physiological pregnancies (gestational week between 31 and 40),portable phonocardiographic device (Fetaphon Monitoring System by Pentavox),X,fPCG signals were recorded,,,cardiovascular
Gait in Aging and Disease Database: Walking stride interval time series from 15 subjects.,X,0,X,0,15,X,0,X,X,,15,"Three groups: 5 healthy young adults (23 - 29 years old), 5 healthy old adults (71 - 77 years old), and 5 older adults (60 - 77 years old)",1,,,,USA,"Boston, Massachusetts (Beth Israel Deaconess Medical Center)",10 patients were classified as healthy while 5 remaining patients had Parkinson's Disease,"The stride interval was measured using ultra-thin, force sensitive resistors placed inside the shoe. The analog force signal was sampled at 300 Hz with a 12 bit A/D converter, using an ambulatory, ankle-worn microcomputer that also recorded the data (not specified on PhysioNet)",X,Walking stride interval time series from healthy patients walking in a circle and patients with Parkinson's walking up and down a hallway,,,gait/balance/motion
Gait in Neurodegenerative Disease Database: Database of simulated adult and non-invasive fetal ECG signals.,X,0,X,0,64,"Control (Healthy): 14 females; 2 males;         Huntinton's Disease: 14 females, 6 males;              Parkinson's Disease: 5 females; 10 males;            ALS: 3 females, 10 males",1,28,36,,64,Control age range: 20-95;       Huntington's Disease age range: 45-102;                Parkinson's Disease: 43-100;           ALS age range: 36-70,1,,,,USA,"Boston, Massachusetts (Massachusetts General Hospital)","The records in this database are from patients with Parkinson's disease (n = 15), Huntington's disease (n = 20), or amyotrophic lateral sclerosis (n = 13). Records from 16 healthy control subjects are also included here.","To measure the gait rhythm and the timing of the gait cycle, force-sensitive insoles (16) were placed in the subject's sho",X,gait rhythm via time series data,,,neuroelectric
"Gait in Parkinson's Disease: This database contains measures of gait from 93 patients with idiopathic PD (mean age: 66.3 years; 63% men), and 73 healthy controls (mean age: 66.3 years; 55% men). The database includes the vertica…",X,0,X,0,166 total subjects: 93 had Parkinson's and 73 were healthy subjects,idiopathic Parkinson's Disease Group (63% men);       Healthy group (55% men),1,99,67,,166,idiopathic Parkinson's Disease Group (mean age: 66.3 years);       Healthy group (mean age: 66.3 years),1,,,,USA,X,"Portion of subjects had Parkinson's Disease (experimental group), while control gorup composed of all healthy patients","8 sensors (Ultraflex Computer Dyno Graphy, Infotronic Inc.) that measure force (in Newtons) as a function of time",X,"vertical ground reaction force records of subjects as they walked at their usual, self-selected pace for approximately 2 minutes on level ground. database also includes demographic information, measures of disease severity (i.e., using the Hoehn & Yahr staging and/or the Unified Parkinson's Disease Rating Scale) and other related measures",,,gait/balance/motion
"Gait Maturation Database: The data contained here are from 50 healthy children ranging in age from 40 months to 163 months. Each data file is named with a subject identifier (1-50) and the subject's age (e.g., the file name 2…",X,0,X,0,50,25 males; 25 females,1,25,25,,50,40 months-163 months,1,,,,USA,"Boston, Massachusetts","All children were healthy. Children were excluded if they had any disorders likely to affect gait, if they were unable to walk independently for 8 min, or if they were born prematurely.",Two force-sensitive switches were placed inside the subject's right shoe: one underneath the heel of the foot and the other underneath the ball of the foot (not specified),X,"The first column is the time (in seconds), and the second column is the stride interval (in seconds) or the gait cycle duration, the time from heel strike to heel strike of the same foot",,,gait/balance/motion
Gesture Recognition and Biometrics ElectroMyogram (GRABMyo): Open-access dataset of electromyogram (EMG) recordings collected from the wrist and forearm muscles of 43 people while they performed hand gestures.,X,0,X,0,43 participants ((43 users × 3 days = 129 recording sessions),23 males; 20 females,1,23,20,,43,24-35,1,,,,Canada,"Ontario, Canada (University of Waterloo)","all healthy participants. Individuals with any existing muscle pain, skin allergies, and those who were unable to complete the three sessions due to any unprecedent circumstances were excluded from the study.","The EMGUSB2 + (OT Bioelettronica, Italy), a commercial amplifier, was used for acquiring the sEMG signals. The gain of the device was set to 500, and the sampling rate was set to 2048 Hz. Pre-gelled skin-adhesive monopolar sEMG electrodes (AM-N00S/E, Ambu, Denmark) were used.",X,electromyogram (EMG) recordings collected from the wrist and forearm muscles while performing hand gestures,,,myoelectric
"Haaglanden Medisch Centrum sleep staging database: A collection of 151 whole-night PolySomnoGraphic (PSG) sleep recordings from the Haaglanden Medisch Centrum (HMC, The Netherlands) sleep center containing different traces of ExG activity and expert's scorings of sleep stages",X,0,X,0,151 whole-night polysomnographic (PSG) sleep recordings,"85 Male, 66 Female",1,85,66,,151,53.9 ± 15.4,1,,,,Netherlands,Netherlands (Haaglanden Medisch Centrum),Patients were not subjected to any other treatment nor prescribed any additional behavior outside of the usual clinical procedures,"SOMNOscreen PSG, PSG+, and EEG 10-20 recorders (SOMNOmedics, Germany) using AgAgCl electrodes",X,"contains electroencephalographic (EEG), electrooculographic (EOG), chin electromyographic (EMG), and electrocardiographic (ECG) activity, as well as event annotations corresponding to scoring of sleep patterns (hypnogram) performed by sleep technicians",,,multi_parameter
Heart Rate Oscillations during Meditation: Heart rate time series for 5 different groups of healthy subjects performing meditation techniques.,X,0,X,0,34,"Group 1:  8F, 3M; Group 2: 9F, 5M; Group 3: 3F, 6M ",1,14,20,,34,"Group 1: 20–35, mean 29; Group 2: 20–35, mean 25; Group 3: 21–55, mean 39",1,,,,USA,"Beth Israel Deaconess Medical Center, Boston",healthy,ECG,X,heart rate oscillations from healthy patients performing various forms of yoga,,2000,cardiovascular
Human Balance Evaluation Database: Force platform recordings from 163 subjects undergoing stabilography tests.,X,0,X,0,163,Reported in datasheet,1,X,X,,X,Reported in data,1,,,,Brazil,"Federal University of ABC (Santo André, Brazil)",,stabilography test,X,"recorded Force/N - (x, y and z), Moment/Nm - (x, y and z), Center-of-Pressure/cm - (x and y)",,2016,gait/balance/motion
Icelandic 16-electrode Electrohysterogram Database: This database consists of 122 16-electrode EHG recordings performed on 45 pregnant women. The recordings were performed between 2008 and 2010 in Iceland.,X,0,X,0,45,F,1,0,45,,45,X,0,,,,Iceland,Akureyri Primary Health Care Centre and Landspitali University Hospital,pregant,16 lead EHG,X,EHG,,2015,myoelectric
Icentia11k Single Lead Continuous Raw Electrocardiogram Dataset: This is a dataset of continuous raw electrocardiogram (ECG) signals for representation learning containing 11 thousand patients and 2 billion labelled beats.,X,0,X,0,"11,000","unreported, potentially in nested jsons",1,X,X,,47,mean 62.2±17.4,1,,,,Canada,"Ontario, Canada",potential for cardiac arrhythmias,"used CardioSTAT, a single-lead heart monitor device from Icentia",X,ECG,,2022,cardiac_electrophysiology
Indian Institute of Science Fetal Heart Sound Database (IIScFHSDB): The IIScFHSDB has 60 fetal phonocardiography recordings obtained in a hospital setting with the objective to provide fPCG recordings with clinical noise settings for development of signal processing algorithms for FHR determination and denoising fPCG,X,0,X,0,60,F,1,0,60,,60,18-27 years of age with gestation weeks 30-40,1,,,,India (Bangalore),"St. John's Hospital, Bangalore",expecting mothers,"used electronic stethoscope (SS30LA) connected to a data acquisition system (MP36, Biopac Systems Inc.)",X,fPCG,,2022,cardiovascular
"Influence of the MHD effect on 12-lead and 3-lead ECGs recorded in 1T to 7T MRI scanners: ECG signals were acquired in various MRI scanners to enable the study of the magnetohydrodynamic (MHD) effect. The MHD effect, which is caused by an interaction of the blood flow and the MRI’s high static magnetic field, superimposes the ECG signal.",X,0,X,0,23,X,0,X,X,,23,mean 27.1 +/-3.2 years,1,,,,Germany,"2011-2017 Otto-von-Guericke University of Magdeburg, Germany",volunteers,MRI,X,ECG,,2017,cardiac_electrophysiology
"In-Gauge and En-Gage: Understanding Occupants' Behaviour, Engagement, Emotion, and Comfort Indoors with Heterogeneous Sensors and Wearables: The project aims to understand occupants’ behaviour, engagement, emotion, and comfort indoors with heterogeneous sensors and wearables.",X,0,X,0,29,"Teachers: 2M, 4F; Students: 10M, 13 F (in data)",1,12,17,,29,Teachers: not all reported; students 15.95,1,,,,Australia,"Melbourne, Australia","23 students, 6 teachers",wearable sensors and self reports (Empatica E4),X,"includes wearable sensor data (electrodermal activity, heart rate, blood volume pulse, skin temperature, 3-axis acceleration data), environmental data and self-report data (student engagement, emotion, thermal comfort, seating behaviours)",,2023,multi_parameter
Intracardiac Atrial Fibrillation Database: This database consists of endocardial recordings from the right atria of 8 patients in atrial fibrillation or flutter. A decapolar catheter with 2-5-2mm spacing (7mm spacing between bipoles) was plac…,X,0,X,0,8,nested json,1,X,X,,X,nested jsons,1,,,,X,X,atrial fib/flutter,decapolar catheter,X,"8 signals: intracardiac: CS12 - CS90, or ECG: I, II, V1, aVF",,2000,cardiac_electrophysiology
KINECAL: A dataset for balance falls-risk assessment and balance impairment analysis,X,0,X,0,90,53 M; 47 F,1,53,47,,90,Healthy: 36.7 ± 16.8; motor dysfunction 60.44 ± 14.2,1,,,,UK,maybe Manchester Metropolitan University,"44 healthy, 32 motor dysfunction",Kinect V2,X,different movements,,2022,gait/balance/motion
"Labeled raw accelerometry data captured during walking, stair climbing and driving: Labeled raw accelerometry data collected during outdoor walking, stair climbing, and driving for 32 healthy adults. Data were collected simultaneously at four body locations: left wrist, left hip, both ankles.",X,0,X,0,200,115 M; 85 F (in physionet),1,115,85,,200,52 mean,1,,,,Russia,Nizhny Novgorod City Hospital No 5 in 2017–2018,healthy,12 lead ECG,X,ECG,,2020,gait/balance/motion
"Lobachevsky University Electrocardiography Database: ECG signal database that consists of 200 10-second 12-lead records. The boundaries and peaks of P, T waves and QRS complexes were manually annotated by cardiologists. Each record is annotated with the corresponding diagnosis.",X,0,X,0,44,27 M; 17 F (in paper),1,27,17,,44,PAF  67 ± 11; sustained AF 66 ± 12 ,1,,,,USA,Northwestern,AF,ECG holter,X,ECG,,2007,cardiac_electrophysiology
Long Term AF Database: This database includes 84 long-term ECG recordings of subjects with paroxysmal or sustained atrial fibrillation (AF). Each record contains two simultaneously recorded ECG signals digitized at 128 Hz …,X,0,X,0,84 recordings,X,0,X,X,,X,X,0,,,,USA,Northwestern,patients with paroxysmal or sustained atrial fibrillation (AF),ECG,X,"QRS, ATR from ECG",,2007,cardiac_electrophysiology
"Long Term Movement Monitoring Database: The LTMM database contains 3-day 3D accelerometer recordings of 71 elder community residents, used to study gait, stability, and fall risk.",X,0,X,0,71,F 64.79% women (reported in paper),1,25,46,,71,mean age = 78.36 ± 4.71 years; range = 65-87,1,,,,Norway,"Norwegian University of Science and Technology
",elder community residents,X,X,"fall, 3 day living, and gait assessnments performed",,2015,gait/balance/motion
"Long-term Recordings of Gait Dynamics: Stride interval fluctuations were studied in ten young, healthy men. Participants had no history of any neuromuscular, respiratory or cardiovascular disorders, and were taking no medications. Mean ag…",X,0,X,0,19,10 M (reported),1,10,9,,19,mean 21.7 years (range: 18-29 years),1,,,,USA,Harvard,healthy,X,X,stride interval fluctuations,,2000,gait/balance/motion
"Long Term ST Database: The Long-Term ST Database contains 86 lengthy ECG recordings of 80 human subjects, chosen to exhibit a variety of events of ST segment changes, including ischemic ST episodes, axis-related non-ischem…",X,0,X,0,86 samples of 80,not reported in physionet or paper,1,X,X,,80,not reported in physionet or paper,1,,,,Slovenia,"University of Ljubljana, Slovenia",,ECG,X,ECG,,2003,cardiac_electrophysiology
"MAMEM SSVEP Database: Released by the Information Technologies Institute (CERTH-ITI) and powered by MAMEM HORIZON 2020, the MSSVEP database contains EEG recordings of 11 subjects under the stimulation of flickering lights…",X,0,X,0,11,8 M; 3 F (reported in physionet posting),1,8,3,,11,24-39,1,,,,Greece,Thermi (?) Information Technologies Institute,none listed,EEG,X,EEG,,2016,neuroelectric
Mental workload during n-back task captured by TransCranial Doppler (TCD) sonography and functional Near-Infrared Spectroscopy (fNIRS) monitoring: Functional near-infrared spectroscopy and transcranial doppler sonography were used to measure changes in cerebral hemodynamics during cognitive stimulation.,X,0,X,0,14,10 M; 4 F (reported in physio net post),1,10,4,,14,mean 31±5.94 years,1,,,,USA,University of Oklahoma 2018,healthy,NIRScout,X,"relative concentration of oxy- and deoxyhemoglobin (HbO and HbR, respectively), and cerebral Blood Flow Velocity (BFV) in the middle cerebral arteries for the entire duration of the testing (~11 minutes)",,2021,cardiovascular
MGH/MF Waveform Database: The Massachusetts General Hospital/Marquette Foundation (MGH/MF) Waveform Database is a comprehensive collection of electronic recordings of hemodynamic and electrocardiographic waveforms of stable a…,X,0,X,0,250,nested jsons,1,X,X,,X,N,1,,,,USA,Massachusetts General Hospital,different stages of hospitalization,ECG,X,"includes electronic recordings of hemodynamic and electrocardiographic waveforms of stable and unstable patients in critical care units, operating rooms, and cardiac catheterization laboratories",,1991,cardiovascular
MICRO Motion capture data from groups of participants standing still to auditory stimuli (2012): How and why does music make us move? This dataset was collected as part of a project to investigate how music influences small magnitude motion observed when people try to stand still.,X,0,X,0,113,48 M; 65 F (reported in separate file),1,48,65,,113,26.6 mean,1,,,,Norway,"University of Oslo, 3/12/2012",volunteers,Qualysis motion capture,X,head movement,,2020,gait/balance/motion
MIMIC Database: The MIMIC Database includes data recorded from over 90 ICU patients. The data in each case include signals and periodic measurements obtained from a bedside monitor as well as clinical data obtained …,X,0,X,0,"90 patients, 200 days",recorded in html,1,X,X,,X,recorded in html,1,,,,USA,Harvard MIT ,ICU patients,bedside monitor,X,"includes qrs (ECG beat labels, all beats labelled normal) for all records; al (annotations for alarms related to changes in the patient's status) and in (annotations related to changes in the functioning of the monitor) for all records after 055; and abp (arterial blood pressure), pap (pulmonary arterial pressure), cvp (central venous pressure), and ple (fingertip plethysmograph)",,1996,clinical
"MIT-BIH Arrhythmia Database: Two-channel ambulatory ECG recordings, obtained from 47 subjects studied by the BIH Arrhythmia Laboratory between 1975 and 1979.",X,0,X,0,48 chosen at random from overall dataset,X,1,X,X,,X,X,0,,,,USA,MIT-BIH subjects from 1975-1979,,,,,,,cardiac_electrophysiology
MIT-BIH Atrial Fibrillation Database: This database includes 25 long-term ECG recordings of human subjects with atrial fibrillation (mostly paroxysmal).,X,0,X,0,25,X,0,X,X,,X,X,0,,,,USA,,,,,,,,cardiac_electrophysiology
"MIT-BIH ECG Compression Test Database: This database contains 168 short ECG recordings (20.48 seconds each) selected to pose a variety of challenges for ECG compressors, in particular for lossy compression methods.",X,0,X,0,168 ECG strips,X,0,X,X,,X,X,0,,,,USA,Beth Israel Hospital,X,ECG: holter recordings vs compressors,X,accuracy between compressed and uncompressed ECG signals,,,cardiac_electrophysiology
"MIT-BIH Long-Term ECG Database: This database contains 7 long-term ECG recordings (14 to 22 hours each), with manually reviewed beat annotations.",X,0,X,0,7,X,0,X,X,,X,X,0,,,,USA,,,,,,,,cardiac_electrophysiology
"MIT-BIH Malignant Ventricular Ectopy Database: This database includes 22 half-hour ECG recordings of subjects who experienced episodes of sustained ventricular tachycardia, ventricular flutter, and ventricular fibrillation.",X,0,X,0,22,X,0,X,X,,X,X,0,,,,USA,,"patients experiencing sustained ventricular tachycardia, ventricular flutter, and ventricular fibrillation",,,,,,cardiac_electrophysiology
MIT-BIH Noise Stress Test Database: This database includes 12 half-hour ECG recordings and 3 half-hour recordings of noise typical in ambulatory ECG recordings. The noise recordings were made using physically active volunteers and stan…,same as 107,0,X,0,12,X,0,X,X,,X,X,0,,,,USA,,,,,,,,cardiac_electrophysiology
MIT-BIH Normal Sinus Rhythm Database: Long-term ECG recordings of 18 subjects referred to the Arrhythmia Laboratory at Boston's Beth Israel Hospital.,X,0,X,0,18,5 M; 13 F,1,5,13,,18,M: 26-45; F: 20-50,1,,,,USA,recorded at Boston's Beth Israel Hospital,referred to arrhythmia lab,ECG,X,ECG,,,cardiac_electrophysiology
"MIT-BIH Polysomnographic Database: Recordings of multiple physiologic signals during sleep, collected from 18 subjects monitored at Boston's Beth Israel Hospital Sleep Laboratory.",X,0,X,0,"18 records, 60 subjects",M,1,60,0,,60,"32-56, mean 40",1,,,,USA,recorded at Boston's Beth Israel Hospital Sleep Laboratory,diagnosing chronic obstructive sleep apnea,algorithm developed on CD-ROM,X,"ECG, EMG, EOG",,,multi_parameter
"MIT-BIH ST Change Database: Twenty eight ECG recordings of varying lengths, most of which were recorded during exercise stress tests and which exhibit transient ST depression.",X,0,X,0,28 recordings,X,1,X,X,,X,X,0,,,,USA,,,,X,ECG,,,cardiac_electrophysiology
MIT-BIH Supraventricular Arrhythmia Database: This database includes 78 half-hour ECG recordings chosen to supplement the examples of supraventricular arrhythmias in the MIT-BIH Arrhythmia Database.,X,0,X,0,78,X,1,X,X,,X,X,0,,,,USA,,,,,,,,cardiac_electrophysiology
MMG Database: Uterine magnetomyographic signals from 25 subjects recorded using a 151 channel Reproductive Assessment system.,X,0,X,0,25,F,1,0,25,,25,37-40 weeks,1,,,,USA,"Little Rock, AK",pregancy,used 151 channel SARA (SQUID Array for Reproductive Assessment) system,X,MMG,,,myoelectric
Modulation of Plantar Pressure and Muscle During Gait: Plantar pressure distribution and muscle activity during gait from 20 healthy male adults.,X,0,X,0,20,M,1,20,0,,20,24.4 +/- 5.7,1,,,,Japan,Japan,healthy,F-scan in-shoe pressure measurement system,X,"plantar pressure, EMG",,,myoelectric
Motion and heart rate from a wrist-worn wearable and labeled sleep from polysomnography: Motion data and heart rate measurements from Apple Watches from sleeping people undergoing polysomnography.,X,0,X,0,31,10 M; 21 F,1,10,21,,31,mean 29.4 years (σ = 8.52 years),1,,,,USA,"University of Michigan, June 2017-March 2019",healthy,Apple Watch,X,"HR, sleep, motion, steps",,,multi_parameter
Motion Artifact Contaminated ECG Database: Short duration ECG signals are recorded from a healthy 25-year-old male performing different physical activities to study the effect of motion artifacts on ECG signals and their sparsity.,X,0,X,0,1 participant,M,1,1,0,,1,25,1,,,,USA,Oregon State University,healthy,4 pairs of electrodes at 45 degree offsets,X,ECG,,,cardiac_electrophysiology
Motion Artifact Contaminated fNIRS and EEG Data: Examples of functional near-infrared spectroscopy and electroencephalogram recordings that have been created for evaluating artifact removal methods.,X,0,X,0,"10 fNIRS, 6 EEG","fNIRS: 4 M, 6 F; EEG 3 M, 3 F",1,7,9,,16,"fNIRS: 29, SD 5.92; EEG: 27 SD 4.29",1,,,,Ireland,National University of Ireland at Maynooth,healthy,"fNIRS optodes, EEG channels",,"9 fNIRS, 23 EEG",,,neuroelectric
"Multilevel Monitoring of Activity and Sleep in Healthy People: Multilevel Monitoring of Activity and Sleep in Healthy people (MMASH) dataset provides 24 hours of continuous beat-to-beat heart data, triaxal accelerometer data, sleep quality, physical activity, psychological characteristics and salivary samples.",X,0,X,0,22,M,1,22,0,,22,X,0,,,,Italy,University of Pisa,healthy,used Polar H7 heart rate monitor and ActiGraph wGT3X-BT,X,"collected beat-to-beat heart data, triaxial accelerometer data, sleep quality, physical activity, psychological characteristics (i.e., anxiety status, stress events and emotions), saliva bio-markers (i.e.cortisol and melatonin) and activity log ",,,multi_parameter
neuroQWERTY MIT-CSXPD Dataset: Keystroke logs collected from 85 subjects with and without Parkinson's disease.,X,0,X,0,85 subjects,"PD: 43% F, 57% M; control: 60% F, 40% M",1,41,44,,85,PD mean age = 59.0; control mean age: 60,1,,,,Spain,Madrid,42 with and 43 without Parkinson's Disease,standard word processor Lenovo G50-70 i3-4005U,X,"typing timing, clinical evals (UPDRS and finger tapping tests)",,,gait/balance/motion
"NInFEA: Non-Invasive Multimodal Foetal ECG-Doppler Dataset for Antenatal Cardiology Research: Open dataset featuring non-invasive electrophysiological recordings, fetal pulsed-wave Doppler and maternal respiration signals. It provides a ground truth on the fetal heart activity when an invasive scalp lead is unavailable.",X,0,X,0,"60 entries, 39 subjects",F,1,0,39,,39,21-27 weeks,1,,,,Italy,"Cagliari University, Sardinia - Italy",pregnant,"ECG, respiration belt, Philips iE33 Ultrasound Machine",X,"includes 27 electrophysiological channels (2048 Hz, 22 bits, acquired by means of the TMSi Porti7 system), maternal respiration signal (through a resistive thoracic belt), synchronised foetal trans-abdominal PWD and clinical annotations provided by expert clinicians",,,multi_parameter
Noise Enhancement of Sensorimotor Function: Postural sway measurements for 27 healthy young and elderly volunteers.,X,0,X,0,27,X,1,14,13,27,27,"Young: mean age 23, standard deviation 2; Elderly: mean age 73, standard deviation 3",1,,,,USA,Boston University,old vs young,vibrating insole,X,postural sway,,,gait/balance/motion
"Non-EEG Dataset for Assessment of Neurological Status: Non-EEG physiological signals collected using non-invasive wrist worn biosensors and consists of electrodermal activity, temperature, acceleration, heart rate, and arterial oxygen level.",X,0,X,0,20,14 M; 6 F,1,14,6,,20,mean 26.05,1,,,,USA,Dallas,healthy,used non-invasive wrist worn biosensors,X,"electrodermal activity (EDA), temperature, acceleration, heart rate (HR), and arterial oxygen level (SpO2)",,,multi_parameter
Non-Invasive Fetal ECG Arrhythmia Database: Fetal cardiac arrhythmias are defined as any irregular fetal cardiac rhythm or regular rhythm at a rate outside the reference range of 100 to 200 beat per minute (bpm). Arrhythmias are discovered in …,X,0,X,0,26,F,1,0,26,,26,"32 +/- 6.8 for ARR, 23+/- 4.8 for NR",0,,,,Israel,X,pregnancy,performed using non-invasive fetal electrocardiography,,,,,cardiac_electrophysiology
"Non-Invasive Fetal ECG Database: Fifty-five multichannel abdominal non-invasive fetal electrocardiogram recordings, taken from a single subject between 21 to 40 weeks of pregnancy.",X,0,X,0,"1 subject, 55 samples",X,0,X,X,,X,weeks 21-40 of pregnancy,0,,,,Spain,"Valencia, weeks 21-40 of pregnancy",pregancy,used multichannel abdominal non-invasive fetal electrocardiogram (FECG) recordings,X,FECG,,,cardiac_electrophysiology
Normal Sinus Rhythm RR Interval Database: Beat annotation files for 54 long-term ECG recordings of subjects in normal sinus rhythm.,X,0,X,0,54,30 M; 24 W,1,30,24,,54,Men: aged 28.5 to 76; Women: aged 58 to 73,1,,,,USA,St. Louis,normal,ECG,X,ECG,,,cardiac_electrophysiology
Norwegian Endurance Athlete ECG Database: This project contains 28 ECGs from 28 healthy elite athletes. The ECGs have been interpreted by the Marquette SL12 (version 23) algorithm and a Cardiologist using the International Criteria for ECG interpretation (2018).,X,0,X,0,28,19 M; 9 W,1,19,9,,28,"ages 20 to 43 years (Mean = 25 years, standard deviation = 4.7 years)",1,,,,Norway,Norway,elite athletes,12 lead ECG - General Electric (GE) MAC VUE 360 electrocardiograph,X,ECG,,,cardiac_electrophysiology
"OB-1 Fetal ECG Database: This project is developing a set of recordings of fetal scalp electrograms and uterine muscular activity, with beat-by-beat annotations of the fetal ECG, to support studies of fetal heart rate variab…",X,0,X,0,X,X,0,X,X,,X,X,0,,,,X,X,,,X,"fetal scalp ECG, uterine muscular activity",,,multi_parameter
Open Access Dataset and Toolbox of High-Density Surface Electromyogram Recordings: We provide an open access dataset of High Density Surface Electromyogram (HD-sEMG). Our dataset can be used for both hand gesture classification-based neuroprosthetic control and EMG-force regression based proportional neuroprosthetic control.,X,0,X,0,20,12 M; 8 F,1,12,8,,20,22-34,1,,,,China,Shanghai,intact fingers,Surface electromyogram,X,HD-sEMG,,,gait/balance/motion
"PAF Prediction Challenge Database: ECG recordings created for use in the Computers in Cardiology Challenge 2001, a competition with the goal of developing automated methods for predicting paroxysmal atrial fibrillation.",X,0,X,0,100 subjects,X,0,X,X,98,98,X,0,,,,USA,X,subjects with and without paroxysmal atrial fibrillation,ECG,X,ECG,,,cardiac_electrophysiology
"Pattern Analysis of Oxygen Saturation Variability: This database contains one hour oxygen saturation measurements of 36 patients, used for the analysis of oxygen saturation variability.",X,0,X,0,36,17 M; 19 F,1,17,19,,36,"young cohort: Mean age = 21.0 (SD = 1.36 years)
old cohort: Mean age = 50.0 (SD = 10.4 years)",1,,,,UK,"London, UK",smoking/non smoking,pulse pressure transducer,X,oxygen saturation variability,,,cardiovascular
"Physiologic Response to Changes in Posture: A collection of physiological signals in ten healthy subjects in response to a slow tilt, a fast tilt, and a standing-up maneuver.",X,0,X,0,10,5 M; 5 F,1,5,5,,10,mean 28.7±1.2,1,,,,USA,Harvard/MIT,healthy,"standard clinical ECG, non-invasive BP monitor",X,ECG and arterial BP waveform,,,multi_parameter
"Post-Ictal Heart Rate Oscillations in Partial Epilepsy: This database contains ""post-ictal heart rate oscillations in a heterogeneous group of patients with partial epilepsy.",X,0,X,0,"5 patients, 11 seizures recorded",5 F,1,0,5,,5,31-48,1,,,,USA,"Boston, MA - Beth Israel Deaconess Medical Center",partial epilepsy,"single LED ECG, custom software",X,"EEG/ECG, video monitoring",,,cardiac_electrophysiology
